City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
508,Kalmunai,LK,76.71,broken clouds,7.4167,81.8167,VS Villa
514,Toowoomba,AU,73.4,clear sky,-27.55,151.9667,Toowoomba Central Plaza Apartment Hotel
515,Bosaso,SO,78.58,scattered clouds,11.2842,49.1816,Red Sea Hotel
519,San Cristobal,VE,78.8,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
523,Seminole,US,73.0,clear sky,28.7086,-81.2081,Ono Hot Dog Cart and Catering
524,Olinda,BR,78.8,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
525,Napier,NZ,72.0,moderate rain,-39.4833,176.9167,The Nautilus Napier
527,Inverell,AU,75.0,clear sky,-29.7833,151.1167,Sapphire City Motor Inn
528,San Matias,BO,79.7,scattered clouds,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
529,Cape Canaveral,US,72.0,haze,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
535,Grand Gaube,MU,75.0,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
537,Lagos,NG,79.34,broken clouds,6.5833,3.75,
538,Sawakin,SD,73.94,few clouds,19.1059,37.3321,فندق الدويم
541,Madaripur,BD,74.68,few clouds,23.1753,90.2072,Government Madaripur College Student Hostel (Female)
542,Yarada,IN,79.72,few clouds,17.65,83.2667,Jeevan
544,Omboue,GA,76.8,overcast clouds,-1.5746,9.2618,Hotel Olako
551,Harper,LR,78.46,few clouds,4.375,-7.7169,Screensaver
555,Saint George,US,78.01,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
561,Manaus,BR,78.8,light rain,-3.1019,-60.025,Manaus Hotéis Millennium
563,Bara,NG,77.07,clear sky,10.3744,10.7288,
564,Muscat,OM,78.8,clear sky,23.6139,58.5922,Mutrah Hotel
565,Songkhla,TH,77.0,broken clouds,6.8333,100.6667,น.ส ซัลมา สาแม็ง
567,Biak,ID,79.56,overcast clouds,-0.9131,122.8766,Penginapan Kim
568,Itarema,BR,77.43,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
569,Ciudad Guayana,VE,75.99,broken clouds,8.3533,-62.6528,Hotel Las Americas
574,Saint Anthony,US,73.4,clear sky,45.0205,-93.21799999999999,Holiday Inn Express Roseville-St. Paul
575,Mayumba,GA,77.65,overcast clouds,-3.432,10.6554,LIKWALE LODGE
589,Aguas Formosas,BR,73.92,clear sky,-17.0822,-40.9358,HAVAY PALACE HOTEL
593,Itaueira,BR,77.07,scattered clouds,-7.6033,-43.0256,Pousada e Restaurante Cheiro e Sabor
608,Srandakan,ID,78.69,overcast clouds,-7.9386,110.2506,Puri Brata
609,Conceicao Do Araguaia,BR,75.2,clear sky,-8.2578,-49.2647,Tarumã Tropical Hotel
613,Beboto,TD,79.27,clear sky,8.2668,16.939,
620,Labuhan,ID,79.21,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
621,Miandrivazo,MG,73.45,clear sky,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
630,Biloela,AU,79.72,clear sky,-24.4167,150.5,Silo Motor Inn
